Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Новосибирская область,2003,,15.5,2674.2,1027.0
Омская область,2003,,14.9,2052.7,1230.0
Томская область,2003,,14.5,1037.9,2163.0
Республика Бурятия,2003,,15.4,974.6,228.0
Республика Саха (Якутия),2003,,10.2,950.0,1471.0
Забайкальский край,2003,,16.8,1142.7,578.0
Камчатский край,2003,,12.3,350.5,58.0
Приморский край,2003,,15.6,2048.6,2126.0
Хабаровский край,2003,,16.3,1416.2,1427.0
Амурская область,2003,,16.6,887.8,832.0
Магаданская область,2003,,12.6,178.1,353.0
Сахалинская область,2003,,16.4,536.8,292.0
Еврейская автономная область,2003,,16.1,188.4,15.0
Чукотский автономный округ,2003,,10.7,51.9,176.0
