,Регион,Год,V_сточ_вод_млн_м3,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3,Инвест_в_ООС_норм
201,Вологодская область,2009,132.0,16.3,1208.3,3433.0,13.2878501983862
202,Вологодская область,2010,152.0,16.7,1201.2,3536.0,3.4819487053252125
203,Вологодская область,2011,157.0,15.7,1198.4,3616.0,14.075815269793129
204,Вологодская область,2012,154.42,15.1,1196.0,3657.81,14.807148950734229
205,Вологодская область,2013,147.9,15,1193.0,3671.5,36.96805991203475
206,Вологодская область,2014,137.38,14.8,1190.5,3686.92,32.666484225554136
207,Вологодская область,2015,145.08,14.8,1187.2,3838.84,10.235010325897434
208,Вологодская область,2016,147.1,15.0,1183.3,3956.21,11.402726227845807
209,Вологодская область,2017,157.41,14.4,1176.0,3885.1,13.600624125378642
210,Вологодская область,2018,128.84,14.4,1166.9,3944.02,4.657412023142457
211,Вологодская область,2019,78.45,14.1,1159.6,4021.01,7.705186567724388
212,Вологодская область,2020,67.44,15.7,1150.1,4808.79,18.630147055644198
213,Вологодская область,2021,67.31,18.4,1138.4,4295.9,11.359403563480246
214,Вологодская область,2022,64.71,14.5,1128.7,4457.82,8.199047644154396
215,Вологодская область,2023,60.0,13.8,1121.4,4688.0,10.126963479881967
216,Воронежская область,2000,190.0,17.9,2422.4,2849.0,2.5655653129095244
217,Воронежская область,2001,174.0,18.3,2397.1,2863.0,0.6130008364631273
218,Воронежская область,2002,174.0,18.9,2374.4,2943.0,0.32800047228289747
219,Воронежская область,2003,173.0,18.9,2367.4,3034.0,0.900551509686619
220,Воронежская область,2004,168.0,18.5,2364.9,2419.0,0.6845959302920879
221,Воронежская область,2005,169.0,18.5,2360.9,2524.0,1.605030744101579
222,Воронежская область,2006,159.0,17.7,2353.8,3618.0,2.5884670816872424
223,Воронежская область,2007,152.0,17.3,2344.4,3292.0,1.5854557139901415
224,Воронежская область,2008,144.0,17.2,2339.0,3508.0,5.590280629848739
225,Воронежская область,2009,134.0,16.5,2334.9,3288.0,4.522439499537831
226,Воронежская область,2010,134.0,17,2334.8,3060.0,1.1361763716347892
227,Воронежская область,2011,135.0,15.9,2332.7,2799.0,1.1225349434990006
228,Воронежская область,2012,131.08,15.6,2332.9,3459.11,0.875016446044385
229,Воронежская область,2013,128.63,15.5,2332.9,3464.39,2.4720983638930463
230,Воронежская область,2014,121.91,15.6,2336.4,3317.57,5.485863977063465
231,Воронежская область,2015,117.13,15.3,2340.1,3259.38,4.458749808925796
232,Воронежская область,2016,121.62,15.2,2343.4,4301.93,2.863207044665446
233,Воронежская область,2017,119.2,14.6,2343.1,3943.48,4.554242392115493
