,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
368,Республика Ингушетия,2004,1.37,0.0,6210.4
369,Кабардино-Балкарская Республика,2004,50.0,136524.0,29052.9
370,Карачаево-Черкесская Республика,2004,59.0,17218.0,13127.2
371,Республика Северная Осетия — Алания,2004,93.0,138259.0,24268.0
373,Ставропольский край,2004,224.0,687955.0,122235.4
374,Республика Башкортостан,2004,392.0,4759211.0,310845.1
375,Республика Марий Эл,2004,66.0,64933.0,30085.6
376,Республика Мордовия,2004,54.0,163393.0,38334.9
377,Республика Татарстан (Татарстан),2004,543.0,998521.0,391116.0
378,Удмуртская Республика,2004,28.0,173044.0,100833.1
379,Чувашская Республика — Чувашия,2004,134.0,126323.0,59573.8
380,Пермский край,2004,340.0,1904015.0,266325.9
381,Кировская область,2004,167.0,60860.0,70706.2
382,Нижегородская область,2004,421.0,798728.0,241230.4
383,Оренбургская область,2004,150.0,905582.0,169876.7
384,Пензенская область,2004,147.0,83246.0,59711.7
385,Самарская область,2004,482.0,711298.0,327118.5
386,Саратовская область,2004,262.0,295508.0,151636.9
387,Ульяновская область,2004,105.0,273835.0,67501.0
388,Курганская область,2004,57.0,239105.0,42470.6
389,Свердловская область,2004,828.0,9731273.0,364368.8
390,Ханты-Мансийский автономный округ — Югра,2004,31.0,7159410.0,956196.5
391,Ямало-Ненецкий автономный округ,2004,33.0,830076.0,355718.4
392,Тюменская область,2004,75.0,8439307.0,224818.79999999993
393,Челябинская область,2004,666.0,1753636.0,291179.9
394,Республика Алтай,2004,0.36,0.0,8516.7
395,Республика Тыва,2004,9.0,3060.0,9838.5
396,Республика Хакасия,2004,50.0,56444.0,33102.9
397,Алтайский край,2004,36.0,38270.0,114840.5
398,Красноярский край,2004,531.0,7243698.0,365454.1
399,Иркутская область,2004,785.0,1384543.0,213244.2
400,Кемеровская область — Кузбасс,2004,708.0,894006.0,244462.0
401,Новосибирская область,2004,74.0,334551.0,191826.7
402,Омская область,2004,219.0,479876.0,192877.3
403,Томская область,2004,17.0,966405.0,132439.3
404,Республика Бурятия,2004,66.0,112887.0,63918.5
405,Республика Саха (Якутия),2004,79.0,1282498.0,153496.7
406,Забайкальский край,2004,84.0,198488.0,61261.8
407,Камчатский край,2004,29.0,70132.0,35139.3
408,Приморский край,2004,346.0,538042.0,152301.1
409,Хабаровский край,2004,222.0,274406.0,133330.5
410,Амурская область,2004,99.0,182344.0,64250.2
411,Магаданская область,2004,34.0,21966.0,24612.3
412,Сахалинская область,2004,53.0,64908.0,91729.6
413,Еврейская автономная область,2004,14.0,46520.0,11230.9
414,Чукотский автономный округ,2004,4.85,0.0,12357.8
415,Белгородская область,2005,11.0,619089.0,144987.8
416,Брянская область,2005,89.0,9246.0,66692.3
417,Владимирская область,2005,155.0,34421.2,86926.8
418,Воронежская область,2005,169.0,214410.6,133586.6
419,Ивановская область,2005,144.0,413688.0,44415.4
420,Калужская область,2005,99.0,301855.8,70953.9
421,Костромская область,2005,64.0,99086.0,44684.7
422,Курская область,2005,34.0,90143.0,86624.9
423,Липецкая область,2005,127.0,2117063.0,145194.4
424,Московская область,2005,635.0,486832.19999999995,708062.1
425,Орловская область,2005,68.0,15580.4,53181.9
426,Рязанская область,2005,20.0,241787.0,84382.7
427,Смоленская область,2005,90.0,106384.0,65525.6
428,Тамбовская область,2005,59.0,299337.0,63614.8
429,Тверская область,2005,79.0,785064.0,96897.4
430,Тульская область,2005,252.0,279945.0,116221.2
431,Ярославская область,2005,287.0,2224792.0,131252.1
432,г. Москва,2005,1959.0,7575635.0,4135154.6
433,Республика Карелия,2005,205.0,392230.0,77124.8
434,Республика Коми,2005,133.0,1858180.0,171307.2
435,Ненецкий автономный округ,2005,1.2,947789.9,44718.3
436,Архангельская область,2005,464.0,3766789.9,121715.09999999999
437,Вологодская область,2005,172.0,7651512.0,193966.1
438,Калининградская область,2005,139.0,623286.0,81837.6
439,Ленинградская область,2005,356.0,3066890.8,205416.9
440,Мурманская область,2005,394.0,651822.0,132870.2
441,Новгородская область,2005,78.0,191164.0,63848.3
442,Псковская область,2005,61.0,20466.0,40582.9
443,г. Санкт-Петербург,2005,1188.0,18134312.6,666392.8
444,Республика Адыгея (Адыгея),2005,24.0,142774.0,17029.1
445,Республика Калмыкия,2005,36.0,138124.0,9685.7
446,Краснодарский край,2005,795.0,773216.0,372929.8
447,Астраханская область,2005,68.0,243264.0,70127.6
448,Волгоградская область,2005,204.0,830110.0,203232.2
